Station Name,City,State,Latitude,Longitude,Operator,Usage Type,Connector Type,Power (kW)
Tata.ev Luxon Motors - Tata Power,Edappally ,Kerala,10.011484735873452,76.31138749922593,Tata Power,Public - Membership Required,CCS (Type 2),60.0
TML Sree Gokulam Motors - Tata Power,Edappally,Kerala,10.03915496555662,76.31555880759106,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Tata.ev Gokulam Motors - Tata Power,Choornikkara,Kerala,10.081302790405843,76.33946199404113,Tata Power,Public - Membership Required,CCS (Type 2),60.0
Taj Cochin Internation Airport Hotel - Tata Power,Nedumbassery ,Kerala,10.159995038034907,76.39015421888632,Tata Power,Public - Membership Required,CCS (Type 2),30.0
SAJ Earth Resort - Tata Power,Nedumbassery,Kerala,10.162224246244605,76.3846534973361,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Luxon Motors - Tata Power,Kariyad,Kerala,10.162042049613518,76.36735603462671,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Sree Gokulam Motors - Tata Power,Angamaly,Kerala,10.221060359476041,76.3767521330019,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Centro Mall Charging Station - Tata Power,Kodungallur,Kerala,10.232489483292568,76.19594022414185,Tata Power,Public - Membership Required,CCS (Type 2),30.0
IOCL Thiruvonam Fuels - Tata Power,Palakkad,Kerala,10.769830981411019,76.6680965040648,Tata Power,Public - Membership Required,CCS (Type 2),30.0
IOCL Thiruvonam Fuels - Tata Power,Palakkad,Kerala,10.769830981411019,76.6680965040648,Tata Power,Public - Membership Required,CHAdeMO,30.0
KVR Automotive - Tata Power,Koppam,Kerala,10.782258203557745,76.65824510709217,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Gokulam Residency - Tata Power,Amballur,Kerala,10.436187097899406,76.2652058281742,Tata Power,Public - Membership Required,CCS (Type 2),25.0
Tata.ev Hyson Motors - Tata Power,Thrissur,Kerala,10.496728474625243,76.25836131243113,Tata Power,Public - Membership Required,CCS (Type 2),60.0
