Year,State,City,Public_AC,Public_DC,Private,Highway_Fast,Total_Charging_Stations,Utilization_%,Avg_Daily_Sessions
2021,Andhra Pradesh,Visakhapatnam,12,4,7,2,25,57.9,189
2022,Andhra Pradesh,Visakhapatnam,15,6,9,3,33,67.8,234
2023,Andhra Pradesh,Visakhapatnam,20,10,9,5,44,53.4,337
2024,Andhra Pradesh,Visakhapatnam,32,15,7,7,61,72.2,466
2025,Andhra Pradesh,Visakhapatnam,37,13,12,9,71,60.6,473
2021,Andhra Pradesh,Vijayawada,27,11,16,5,59,56.5,699
2022,Andhra Pradesh,Vijayawada,34,18,17,6,75,67.3,1132
2023,Andhra Pradesh,Vijayawada,49,26,11,14,100,63.6,995
2024,Andhra Pradesh,Vijayawada,70,28,16,18,132,64.9,1432
2025,Andhra Pradesh,Vijayawada,88,36,10,23,157,80.1,1368
2021,Andhra Pradesh,Guntur,15,7,10,3,35,69.6,401
2022,Andhra Pradesh,Guntur,22,11,5,5,43,48.3,491
2023,Andhra Pradesh,Guntur,30,14,8,7,59,59.9,713
2024,Andhra Pradesh,Guntur,35,13,17,8,73,72.5,1127
2025,Andhra Pradesh,Guntur,44,19,19,8,90,58.5,541
2021,Andhra Pradesh,Tirupati,18,9,4,4,35,73.3,433
2022,Andhra Pradesh,Tirupati,27,14,7,5,53,53.0,619
2023,Andhra Pradesh,Tirupati,33,13,13,8,67,46.9,421
2024,Andhra Pradesh,Tirupati,37,16,18,11,82,49.0,1140
2025,Andhra Pradesh,Tirupati,50,22,18,10,100,48.1,1226
2021,Arunachal Pradesh,Itanagar,26,9,13,4,52,42.9,657
2022,Arunachal Pradesh,Itanagar,33,13,11,9,66,64.9,680
2023,Arunachal Pradesh,Itanagar,45,24,10,12,91,45.1,869
2024,Arunachal Pradesh,Itanagar,64,31,7,13,115,56.9,1277
2025,Arunachal Pradesh,Itanagar,61,33,29,12,135,77.5,777
2021,Arunachal Pradesh,Naharlagun,20,11,11,4,46,76.3,543
2022,Arunachal Pradesh,Naharlagun,37,17,7,5,66,43.8,983
