station_id,city,date,vehicle_type,charging_start_time,charging_end_time,energy_consumed_kwh,cost_inr,payment_method
ST001,Kolkata,2025-10-15,Car,12:14:00,13:57:00,96.2,962.0,UPI
ST002,Pune,2025-10-15,Bus,15:27:00,17:26:00,59.2,592.0,UPI
ST003,Hyderabad,2025-10-15,Car,11:29:00,12:08:00,59.8,598.0,Cash
ST004,Indore,2025-10-15,Bus,10:12:00,11:45:00,38.3,383.0,Cash
ST005,Indore,2025-10-15,Car,10:19:00,11:03:00,48.9,489.0,Card
ST006,Hyderabad,2025-10-15,Truck,08:21:00,09:40:00,95.6,956.0,UPI
ST007,Delhi,2025-10-15,Truck,06:04:00,08:44:00,77.9,779.0,Card
ST008,Indore,2025-10-15,Bike,09:48:00,11:27:00,62.2,622.0,Card
ST009,Jaipur,2025-10-15,Car,17:13:00,19:04:00,29.3,293.0,UPI
ST010,Pune,2025-10-15,Bus,20:38:00,23:36:00,35.1,351.0,UPI
ST011,Chennai,2025-10-15,Truck,18:18:00,18:54:00,3.2,32.0,UPI
ST012,Kolkata,2025-10-15,Bus,14:05:00,15:44:00,69.9,699.0,Cash
ST013,Hyderabad,2025-10-15,Car,07:37:00,10:10:00,85.8,858.0,Card
ST014,Mumbai,2025-10-15,Bike,07:57:00,09:27:00,77.4,774.0,UPI
ST015,Pune,2025-10-15,Bus,06:09:00,07:20:00,58.3,583.0,UPI
ST016,Bhopal,2025-10-15,Bus,16:05:00,18:35:00,81.1,811.0,UPI
ST017,Jaipur,2025-10-15,Car,12:45:00,15:29:00,55.9,559.0,UPI
ST018,Chennai,2025-10-15,Car,11:49:00,14:21:00,16.9,169.0,UPI
ST019,Chennai,2025-10-15,Bus,08:15:00,10:58:00,40.8,408.0,Cash
ST020,Kolkata,2025-10-15,Car,12:56:00,13:26:00,67.9,679.0,Cash
ST021,Kolkata,2025-10-15,Bus,17:25:00,19:46:00,32.4,324.0,Cash
ST022,Indore,2025-10-15,Bus,19:49:00,21:00:00,27.5,275.0,UPI
ST023,Mumbai,2025-10-15,Truck,15:43:00,17:25:00,80.8,808.0,Card
ST024,Jaipur,2025-10-15,Bus,10:10:00,11:55:00,49.5,495.0,Card
ST025,Pune,2025-10-15,Bus,08:33:00,10:45:00,98.4,984.0,Card
ST026,Chennai,2025-10-15,Car,12:41:00,13:35:00,99.8,998.0,Card
ST027,Ahmedabad,2025-10-15,Car,06:10:00,08:27:00,76.9,769.0,Cash
ST028,Hyderabad,2025-10-15,Bike,19:17:00,22:11:00,89.0,890.0,UPI
