State,City,Station_Name,Station_Type,Charger_Type,Status,Customer_Rating,Avg_Wait_Time_Min,Queue_Length,Recommendation,Recommendation_Score
Uttar Pradesh,Lucknow,Lucknow Ev Hub 3,Highway,Dc,Active,4.25,17.816666666666666,5.5,Highly Recommended,236.86666666666667
Kerala,Thiruvananthapuram,Thiruvananthapuram Ev Hub 1,Highway,Dc,Active,4.2283333333333335,17.566666666666666,5.4,Highly Recommended,234.71666666666667
Gujarat,Ahmedabad,Ahmedabad Ev Hub 2,Private,Ac,Active,4.205,18.4,5.5,Highly Recommended,231.35000000000002
Gujarat,Ahmedabad,Ahmedabad Ev Hub 1,Highway,Dc,Active,4.171666666666667,17.916666666666668,5.7,Highly Recommended,228.81666666666666
Maharashtra,Nagpur,Nagpur Ev Hub 2,Public,Mixed,Active,4.223333333333334,17.6,5.35,Highly Recommended,227.0
Telangana,Nizamabad,Nizamabad Ev Hub 2,Private,Mixed,Active,4.251666666666667,17.683333333333334,5.65,Highly Recommended,222.68333333333334
Maharashtra,Mumbai,Mumbai Ev Hub 2,Private,Ac,Active,4.1033333333333335,17.216666666666665,5.35,Highly Recommended,221.66666666666669
Rajasthan,Udaipur,Udaipur Ev Hub 3,Private,Ac,Active,4.163333333333333,17.7,5.3,Highly Recommended,220.0
Gujarat,Vadodara,Vadodara Ev Hub 5,Highway,Mixed,Active,4.233333333333333,18.4,5.883333333333334,Recommended,218.2
Uttar Pradesh,Lucknow,Lucknow Ev Hub 2,Private,Ac,Active,4.206666666666667,16.783333333333335,5.05,Recommended,217.63333333333335
West Bengal,Siliguri,Siliguri Ev Hub 1,Public,Dc,Active,4.221666666666667,17.383333333333333,5.216666666666667,Recommended,216.88333333333333
West Bengal,Howrah,Howrah Ev Hub 2,Highway,Mixed,Active,4.23,18.1,5.75,Recommended,216.7
Uttar Pradesh,Kanpur,Kanpur Ev Hub 4,Private,Ac,Active,4.196666666666667,18.033333333333335,5.35,Recommended,215.83333333333334
Gujarat,Surat,Surat Ev Hub 5,Public,Dc,Active,4.208333333333333,17.25,5.466666666666667,Recommended,215.25
Telangana,Nizamabad,Nizamabad Ev Hub 5,Highway,Mixed,Active,4.14,17.4,5.483333333333333,Recommended,213.89999999999998
West Bengal,Kolkata,Kolkata Ev Hub 1,Public,Dc,Active,4.288333333333333,17.8,5.55,Recommended,213.55
Uttar Pradesh,Lucknow,Lucknow Ev Hub 1,Highway,Ac,Active,4.2283333333333335,17.433333333333334,5.683333333333334,Recommended,212.98333333333335
Kerala,Kozhikode,Kozhikode Ev Hub 2,Private,Ac,Active,4.21,17.566666666666666,5.616666666666666,Recommended,212.16666666666666
Karnataka,Hubballi,Hubballi Ev Hub 3,Public,Dc,Active,4.248333333333333,18.183333333333334,5.65,Recommended,212.08333333333331
Karnataka,Mysuru,Mysuru Ev Hub 1,Private,Mixed,Active,4.2,18.516666666666666,5.716666666666667,Recommended,209.46666666666667
Maharashtra,Pune,Pune Ev Hub 1,Private,Mixed,Active,4.2,17.9,5.633333333333334,Recommended,208.7
Telangana,Nizamabad,Nizamabad Ev Hub 3,Private,Ac,Active,4.161666666666666,17.6,5.816666666666666,Recommended,208.64999999999998
Karnataka,Mangaluru,Mangaluru Ev Hub 2,Private,Dc,Active,4.215,17.966666666666665,5.566666666666666,Recommended,208.51666666666665
Maharashtra,Mumbai,Mumbai Ev Hub 3,Public,Mixed,Active,4.168333333333333,17.116666666666667,5.316666666666666,Recommended,208.31666666666666
