Year,Month,Month_No,State,City,2W,3W,4W,Bus,Goods,Total_EV
2021,January,1,Maharashtra,Mumbai,1945,364,273,24,109,2715
2021,January,1,Maharashtra,Pune,2036,381,286,25,114,2842
2021,January,1,Maharashtra,Nagpur,1480,277,208,18,83,2066
2021,January,1,Maharashtra,Nashik,1576,295,221,19,88,2199
2021,January,1,Maharashtra,Aurangabad,2014,377,283,25,113,2812
2021,January,1,Karnataka,Bengaluru,1704,319,239,21,95,2378
2021,January,1,Karnataka,Mysuru,1599,299,224,19,89,2230
2021,January,1,Karnataka,Hubballi,1474,276,207,18,82,2057
2021,January,1,Karnataka,Mangaluru,2127,398,299,26,119,2969
2021,January,1,Karnataka,Belagavi,1839,344,258,22,103,2566
2021,January,1,Tamil Nadu,Chennai,1667,312,234,20,93,2326
2021,January,1,Tamil Nadu,Coimbatore,1985,372,279,24,111,2771
2021,January,1,Tamil Nadu,Madurai,1487,278,209,18,83,2075
2021,January,1,Tamil Nadu,Salem,1913,358,269,23,107,2670
2021,January,1,Tamil Nadu,Tiruchirappalli,1663,311,233,20,93,2320
2021,January,1,Telangana,Hyderabad,852,159,119,10,47,1187
2021,January,1,Telangana,Warangal,928,174,130,11,52,1295
2021,January,1,Telangana,Karimnagar,1129,211,158,14,63,1575
2021,January,1,Telangana,Nizamabad,1214,227,170,15,68,1694
2021,January,1,Telangana,Khammam,961,180,135,12,54,1342
2021,January,1,Gujarat,Ahmedabad,1163,218,163,14,65,1623
2021,January,1,Gujarat,Surat,912,171,128,11,51,1273
2021,January,1,Gujarat,Vadodara,1196,224,168,14,67,1669
2021,January,1,Gujarat,Rajkot,1176,220,165,14,66,1641
2021,January,1,Gujarat,Bhavnagar,1212,227,170,15,68,1692
2021,January,1,Uttar Pradesh,Lucknow,1696,318,238,21,95,2368
2021,January,1,Uttar Pradesh,Kanpur,2049,384,288,25,115,2861
2021,January,1,Uttar Pradesh,Agra,2205,413,310,27,124,3079
2021,January,1,Uttar Pradesh,Varanasi,1496,280,210,18,84,2088
2021,January,1,Uttar Pradesh,Prayagraj,1876,351,263,23,105,2618
2021,January,1,Kerala,Thiruvananthapuram,940,176,132,11,52,1311
2021,January,1,Kerala,Kochi,1106,207,155,13,62,1543
2021,January,1,Kerala,Kozhikode,1041,195,146,13,58,1453
2021,January,1,Kerala,Thrissur,1164,218,163,14,65,1624
2021,January,1,Kerala,Kollam,1050,197,147,13,59,1466
2021,January,1,Rajasthan,Jaipur,1226,229,172,15,68,1710
2021,January,1,Rajasthan,Jodhpur,1171,219,164,14,65,1633
2021,January,1,Rajasthan,Udaipur,1139,213,160,14,64,1590
2021,January,1,Rajasthan,Kota,1168,219,164,14,65,1630
2021,January,1,Rajasthan,Ajmer,1159,217,163,14,65,1618
2021,January,1,West Bengal,Kolkata,1037,194,145,12,58,1446
2021,January,1,West Bengal,Howrah,1161,217,163,14,65,1620
2021,January,1,West Bengal,Siliguri,1235,231,173,15,69,1723
2021,January,1,West Bengal,Durgapur,886,166,124,11,49,1236
2021,January,1,West Bengal,Asansol,1092,204,153,13,61,1523
2021,January,1,Andhra Pradesh,Visakhapatnam,961,180,135,12,54,1342
2021,January,1,Andhra Pradesh,Vijayawada,1211,227,170,15,68,1691
2021,January,1,Andhra Pradesh,Guntur,962,180,135,12,54,1343
2021,January,1,Andhra Pradesh,Tirupati,888,166,124,11,49,1238
2021,January,1,Andhra Pradesh,Kurnool,1227,230,172,15,69,1713
2021,January,1,Madhya Pradesh,Bhopal,947,177,133,11,53,1321
2021,January,1,Madhya Pradesh,Indore,1222,229,171,15,68,1705
2021,January,1,Madhya Pradesh,Jabalpur,1225,229,172,15,68,1709
2021,January,1,Madhya Pradesh,Gwalior,1158,217,162,14,65,1616
