Year,State,City,Population,Month,Month_No,2W,3W,4W,Bus,Goods,Total_EV,Public_AC,Public_DC,Private,Highway_Fast,Total_Charging_Stations,Station_Utilization,Avg_Daily_Sessions,Station_ID,Station_Name,Latitude,Longitude,Station_Type,Operator,Charger_Type,Total_Chargers,AC_Chargers,DC_Chargers,Fast_Chargers,Installation_Year,Parking_Capacity,Nearby_Highway,Nearby_Mall,Nearby_Hospital,Nearby_EV_Population,Status,Fast_Charger_Ratio,DC_Ratio,Station_Age,Utilization_Level,Avg_Daily_Users,Peak_Hour_Users,Avg_Wait_Time_Min,Avg_Charging_Time_Min,Queue_Length,Energy_Delivered_kWh,Usage_Utilization,Fault_Count,Downtime_Hours,Revenue_INR,Customer_Rating,Sessions,Completed_Sessions,Cancelled_Sessions,Demand_Level
2021,Andhra Pradesh,Visakhapatnam,2287676,January,1.0,961.0,180.0,135.0,12.0,54.0,1342.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,February,2.0,1115.0,209.0,156.0,13.0,62.0,1555.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,March,3.0,1142.0,214.0,160.0,14.0,64.0,1594.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,April,4.0,1131.0,212.0,159.0,14.0,63.0,1579.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,May,5.0,1093.0,205.0,153.0,13.0,61.0,1525.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,June,6.0,1160.0,217.0,163.0,14.0,65.0,1619.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,July,7.0,1188.0,222.0,167.0,14.0,66.0,1657.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,August,8.0,1074.0,201.0,151.0,13.0,60.0,1499.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,September,9.0,854.0,160.0,120.0,10.0,48.0,1192.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,October,10.0,1264.0,237.0,177.0,15.0,71.0,1764.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,November,11.0,1330.0,249.0,187.0,16.0,74.0,1856.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Andhra Pradesh,Visakhapatnam,2287676,December,12.0,1258.0,235.0,176.0,15.0,70.0,1754.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,January,1.0,1166.0,218.0,163.0,14.0,65.0,1626.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,February,2.0,1174.0,220.0,165.0,14.0,66.0,1639.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,March,3.0,1213.0,227.0,170.0,15.0,68.0,1693.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,April,4.0,1090.0,204.0,153.0,13.0,61.0,1521.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,May,5.0,1350.0,253.0,189.0,16.0,75.0,1883.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,June,6.0,1288.0,241.0,181.0,16.0,72.0,1798.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,July,7.0,1180.0,221.0,165.0,14.0,66.0,1646.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,August,8.0,1427.0,267.0,200.0,17.0,80.0,1991.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,September,9.0,1523.0,285.0,214.0,19.0,85.0,2126.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,October,10.0,1706.0,319.0,239.0,21.0,95.0,2380.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,November,11.0,1530.0,286.0,215.0,19.0,86.0,2136.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Andhra Pradesh,Visakhapatnam,2333266,December,12.0,1361.0,255.0,191.0,17.0,76.0,1900.0,15.0,6.0,9.0,3.0,33.0,67.8,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Andhra Pradesh,Visakhapatnam,2352324,January,1.0,1538.0,288.0,216.0,19.0,86.0,2147.0,20.0,10.0,9.0,5.0,44.0,53.4,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Andhra Pradesh,Visakhapatnam,2352324,February,2.0,1333.0,249.0,187.0,16.0,74.0,1859.0,20.0,10.0,9.0,5.0,44.0,53.4,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Andhra Pradesh,Visakhapatnam,2352324,March,3.0,1684.0,315.0,236.0,21.0,94.0,2350.0,20.0,10.0,9.0,5.0,44.0,53.4,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
