Year,State,City,Population
2021,Andhra Pradesh,Visakhapatnam,2287676
2022,Andhra Pradesh,Visakhapatnam,2333266
2023,Andhra Pradesh,Visakhapatnam,2352324
2024,Andhra Pradesh,Visakhapatnam,2401227
2025,Andhra Pradesh,Visakhapatnam,2444384
2021,Andhra Pradesh,Vijayawada,414005
2022,Andhra Pradesh,Vijayawada,420791
2023,Andhra Pradesh,Vijayawada,427191
2024,Andhra Pradesh,Vijayawada,433280
2025,Andhra Pradesh,Vijayawada,438157
2021,Andhra Pradesh,Guntur,818701
2022,Andhra Pradesh,Guntur,826590
2023,Andhra Pradesh,Guntur,836607
2024,Andhra Pradesh,Guntur,850026
2025,Andhra Pradesh,Guntur,857740
2021,Andhra Pradesh,Tirupati,1232084
2022,Andhra Pradesh,Tirupati,1254047
2023,Andhra Pradesh,Tirupati,1270499
2024,Andhra Pradesh,Tirupati,1292028
2025,Andhra Pradesh,Tirupati,1312251
2021,Andhra Pradesh,Kurnool,930161
2022,Andhra Pradesh,Kurnool,950147
2023,Andhra Pradesh,Kurnool,970142
2024,Andhra Pradesh,Kurnool,978036
2025,Andhra Pradesh,Kurnool,994194
2021,Arunachal Pradesh,Itanagar,1069904
2022,Arunachal Pradesh,Itanagar,1090396
2023,Arunachal Pradesh,Itanagar,1113523
2024,Arunachal Pradesh,Itanagar,1129672
2025,Arunachal Pradesh,Itanagar,1153879
2021,Arunachal Pradesh,Naharlagun,303085
2022,Arunachal Pradesh,Naharlagun,308663
2023,Arunachal Pradesh,Naharlagun,311614
2024,Arunachal Pradesh,Naharlagun,315405
2025,Arunachal Pradesh,Naharlagun,318743
2021,Arunachal Pradesh,Pasighat,611918
2022,Arunachal Pradesh,Pasighat,619388
2023,Arunachal Pradesh,Pasighat,632404
2024,Arunachal Pradesh,Pasighat,642746
2025,Arunachal Pradesh,Pasighat,655087
2021,Assam,Guwahati,2212465
2022,Assam,Guwahati,2250564
2023,Assam,Guwahati,2293087
2024,Assam,Guwahati,2319352
2025,Assam,Guwahati,2358871
2021,Assam,Silchar,949679
2022,Assam,Silchar,969628
2023,Assam,Silchar,986455
2024,Assam,Silchar,996681
2025,Assam,Silchar,1008179
2021,Assam,Dibrugarh,1277179
2022,Assam,Dibrugarh,1294723
2023,Assam,Dibrugarh,1308104
2024,Assam,Dibrugarh,1324114
2025,Assam,Dibrugarh,1347381
2021,Assam,Jorhat,1169261
2022,Assam,Jorhat,1181503
2023,Assam,Jorhat,1193443
2024,Assam,Jorhat,1216426
2025,Assam,Jorhat,1233486
2021,Assam,Nagaon,767735
2022,Assam,Nagaon,784312
2023,Assam,Nagaon,799083
2024,Assam,Nagaon,811436
2025,Assam,Nagaon,828835
2021,Bihar,Patna,1666180
2022,Bihar,Patna,1699810
2023,Bihar,Patna,1719198
2024,Bihar,Patna,1748110
2025,Bihar,Patna,1766626
2021,Bihar,Gaya,348771
2022,Bihar,Gaya,355150
2023,Bihar,Gaya,362450
2024,Bihar,Gaya,369396
2025,Bihar,Gaya,375182
2021,Bihar,Muzaffarpur,822308
2022,Bihar,Muzaffarpur,830227
2023,Bihar,Muzaffarpur,839368
2024,Bihar,Muzaffarpur,850523
2025,Bihar,Muzaffarpur,859621
2021,Bihar,Bhagalpur,1032393
2022,Bihar,Bhagalpur,1054823
2023,Bihar,Bhagalpur,1076720
2024,Bihar,Bhagalpur,1087170
2025,Bihar,Bhagalpur,1106527
2021,Bihar,Purnia,418499
2022,Bihar,Purnia,427528
2023,Bihar,Purnia,431518
2024,Bihar,Purnia,437504
2025,Bihar,Purnia,443785
2021,Chhattisgarh,Raipur,2250713
2022,Chhattisgarh,Raipur,2286752
2023,Chhattisgarh,Raipur,2324135
2024,Chhattisgarh,Raipur,2343955
2025,Chhattisgarh,Raipur,2386566
2021,Chhattisgarh,Bhilai,844324
2022,Chhattisgarh,Bhilai,854508
2023,Chhattisgarh,Bhilai,867229
2024,Chhattisgarh,Bhilai,883604
2025,Chhattisgarh,Bhilai,896438
2021,Chhattisgarh,Bilaspur,499007
2022,Chhattisgarh,Bilaspur,504613
2023,Chhattisgarh,Bilaspur,514714
2024,Chhattisgarh,Bilaspur,520249
2025,Chhattisgarh,Bilaspur,528181
2021,Chhattisgarh,Korba,162751
2022,Chhattisgarh,Korba,164751
2023,Chhattisgarh,Korba,166451
2024,Chhattisgarh,Korba,168335
2025,Chhattisgarh,Korba,170371
2021,Goa,Panaji,2215256
2022,Goa,Panaji,2235444
2023,Goa,Panaji,2268226
2024,Goa,Panaji,2311234
2025,Goa,Panaji,2339268
2021,Goa,Margao,582833
2022,Goa,Margao,592330
2023,Goa,Margao,599059
2024,Goa,Margao,611277
2025,Goa,Margao,620446
2021,Goa,Vasco Da Gama,1080953
2022,Goa,Vasco Da Gama,1090360
2023,Goa,Vasco Da Gama,1110894
2024,Goa,Vasco Da Gama,1134137
2025,Goa,Vasco Da Gama,1144690
2021,Gujarat,Ahmedabad,5600000
2022,Gujarat,Ahmedabad,5716743
2023,Gujarat,Ahmedabad,5802208
2024,Gujarat,Ahmedabad,5917252
2025,Gujarat,Ahmedabad,5997914
2021,Gujarat,Surat,4500000
2022,Gujarat,Surat,4584477
2023,Gujarat,Surat,4642744
2024,Gujarat,Surat,4680110
2025,Gujarat,Surat,4738081
2021,Gujarat,Vadodara,937428
2022,Gujarat,Vadodara,951565
2023,Gujarat,Vadodara,968765
2024,Gujarat,Vadodara,983475
2025,Gujarat,Vadodara,1002858
2021,Gujarat,Rajkot,1110420
2022,Gujarat,Rajkot,1123302
2023,Gujarat,Rajkot,1136496
2024,Gujarat,Rajkot,1159844
2025,Gujarat,Rajkot,1183789
2021,Gujarat,Bhavnagar,1433973
2022,Gujarat,Bhavnagar,1452149
2023,Gujarat,Bhavnagar,1482005
2024,Gujarat,Bhavnagar,1496209
2025,Gujarat,Bhavnagar,1522241
2021,Haryana,Gurugram,1875058
2022,Haryana,Gurugram,1899361
2023,Haryana,Gurugram,1924088
2024,Haryana,Gurugram,1953321
2025,Haryana,Gurugram,1969903
2021,Haryana,Faridabad,1273836
2022,Haryana,Faridabad,1296906
2023,Haryana,Faridabad,1316093
2024,Haryana,Faridabad,1329454
2025,Haryana,Faridabad,1357835
2021,Haryana,Panipat,141790
2022,Haryana,Panipat,143944
2023,Haryana,Panipat,146622
2024,Haryana,Panipat,149419
2025,Haryana,Panipat,150937
2021,Haryana,Hisar,172809
2022,Haryana,Hisar,174915
2023,Haryana,Hisar,177108
2024,Haryana,Hisar,179122
2025,Haryana,Hisar,182401
2021,Himachal Pradesh,Shimla,2404855
2022,Himachal Pradesh,Shimla,2434377
2023,Himachal Pradesh,Shimla,2462890
2024,Himachal Pradesh,Shimla,2515825
2025,Himachal Pradesh,Shimla,2549095
2021,Himachal Pradesh,Solan,1262949
2022,Himachal Pradesh,Solan,1288301
2023,Himachal Pradesh,Solan,1299066
2024,Himachal Pradesh,Solan,1311541
2025,Himachal Pradesh,Solan,1327657
2021,Himachal Pradesh,Dharamshala,1465508
2022,Himachal Pradesh,Dharamshala,1483308
2023,Himachal Pradesh,Dharamshala,1502626
2024,Himachal Pradesh,Dharamshala,1524567
2025,Himachal Pradesh,Dharamshala,1554313
2021,Jharkhand,Ranchi,2151903
2022,Jharkhand,Ranchi,2196763
2023,Jharkhand,Ranchi,2219976
2024,Jharkhand,Ranchi,2250745
2025,Jharkhand,Ranchi,2274610
2021,Jharkhand,Jamshedpur,1307165
2022,Jharkhand,Jamshedpur,1317640
2023,Jharkhand,Jamshedpur,1343622
2024,Jharkhand,Jamshedpur,1366641
2025,Jharkhand,Jamshedpur,1392931
2021,Jharkhand,Dhanbad,869393
2022,Jharkhand,Dhanbad,878159
2023,Jharkhand,Dhanbad,893652
2024,Jharkhand,Dhanbad,901965
2025,Jharkhand,Dhanbad,909805
2021,Jharkhand,Bokaro,1112392
2022,Jharkhand,Bokaro,1131618
2023,Jharkhand,Bokaro,1149505
2024,Jharkhand,Bokaro,1167898
2025,Jharkhand,Bokaro,1190284
2021,Karnataka,Bengaluru,8500000
2022,Karnataka,Bengaluru,8604595
2023,Karnataka,Bengaluru,8728800
2024,Karnataka,Bengaluru,8877478
2025,Karnataka,Bengaluru,9009385
2021,Karnataka,Mysuru,225039
2022,Karnataka,Mysuru,229719
2023,Karnataka,Mysuru,233267
2024,Karnataka,Mysuru,237610
2025,Karnataka,Mysuru,240505
2021,Karnataka,Hubballi,1445690
2022,Karnataka,Hubballi,1468244
2023,Karnataka,Hubballi,1480063
2024,Karnataka,Hubballi,1508734
2025,Karnataka,Hubballi,1523904
2021,Karnataka,Mangaluru,967360
2022,Karnataka,Mangaluru,983273
2023,Karnataka,Mangaluru,992528
2024,Karnataka,Mangaluru,1012279
2025,Karnataka,Mangaluru,1030557
2021,Karnataka,Belagavi,261096
2022,Karnataka,Belagavi,266664
2023,Karnataka,Belagavi,268860
2024,Karnataka,Belagavi,274504
2025,Karnataka,Belagavi,279562
2021,Kerala,Thiruvananthapuram,2045212
2022,Kerala,Thiruvananthapuram,2062490
2023,Kerala,Thiruvananthapuram,2080237
2024,Kerala,Thiruvananthapuram,2110042
2025,Kerala,Thiruvananthapuram,2144522
2021,Kerala,Kochi,381441
2022,Kerala,Kochi,384971
2023,Kerala,Kochi,392801
2024,Kerala,Kochi,400177
2025,Kerala,Kochi,404317
2021,Kerala,Kozhikode,1226225
2022,Kerala,Kozhikode,1242346
2023,Kerala,Kozhikode,1260727
2024,Kerala,Kozhikode,1287775
2025,Kerala,Kozhikode,1316005
2021,Kerala,Thrissur,743743
2022,Kerala,Thrissur,758711
2023,Kerala,Thrissur,768074
2024,Kerala,Thrissur,782118
2025,Kerala,Thrissur,792410
2021,Kerala,Kollam,1350593
2022,Kerala,Kollam,1377766
2023,Kerala,Kollam,1389833
2024,Kerala,Kollam,1403262
