Station_ID,Station_Name,State,City,Latitude,Longitude,Station_Type,Operator,Charger_Type,Total_Chargers,AC_Chargers,DC_Chargers,Fast_Chargers,Installation_Year,Parking_Capacity,Nearby_Highway,Nearby_Mall,Nearby_Hospital,Nearby_EV_Population,Status,Fast_Charger_Ratio,DC_Ratio,Station_Age,Utilization_Level
St0001,Mumbai Ev Hub 1,Maharashtra,Mumbai,9.4803,83.0511,Private,Ather Grid,Ac,23,6,9,8,2021,18,No,Yes,Yes,6807,Active,0.34782608695652173,0.391304347826087,4,Medium
St0002,Mumbai Ev Hub 2,Maharashtra,Mumbai,12.6151,83.3677,Private,Statiq,Ac,16,3,4,9,2021,60,Yes,No,No,8062,Active,0.5625,0.25,4,Medium
St0003,Mumbai Ev Hub 3,Maharashtra,Mumbai,31.6198,87.3191,Public,Ather Grid,Mixed,14,4,2,8,2021,39,No,Yes,Yes,10942,Active,0.5714285714285714,0.14285714285714285,4,Medium
St0004,Pune Ev Hub 1,Maharashtra,Pune,24.0721,82.3979,Private,Tata Power,Mixed,14,7,2,5,2021,59,Yes,No,No,1300,Active,0.35714285714285715,0.14285714285714285,4,Low
St0005,Pune Ev Hub 2,Maharashtra,Pune,31.1455,87.206,Public,Ather Grid,Ac,15,2,8,5,2021,11,Yes,No,No,2164,Active,0.3333333333333333,0.5333333333333333,4,Low
St0006,Nagpur Ev Hub 1,Maharashtra,Nagpur,20.4929,73.3492,Highway,Chargezone,Mixed,9,4,4,1,2025,13,Yes,No,Yes,9155,Active,0.1111111111111111,0.4444444444444444,0,Medium
St0007,Nagpur Ev Hub 2,Maharashtra,Nagpur,27.6158,88.074,Public,Tata Power,Mixed,21,7,4,10,2023,49,No,Yes,No,4978,Active,0.47619047619047616,0.19047619047619047,2,Low
St0008,Nagpur Ev Hub 3,Maharashtra,Nagpur,19.9104,87.5,Private,Chargezone,Mixed,6,2,2,2,2024,14,No,No,No,1677,Active,0.3333333333333333,0.3333333333333333,1,Low
St0009,Nagpur Ev Hub 4,Maharashtra,Nagpur,27.228,82.8745,Highway,Chargezone,Mixed,12,6,4,2,2022,57,No,Yes,Yes,3356,Active,0.16666666666666666,0.3333333333333333,3,Low
St0010,Nagpur Ev Hub 5,Maharashtra,Nagpur,11.0197,88.1238,Private,Jio-Bp,Ac,12,4,4,4,2021,29,No,No,Yes,1610,Active,0.3333333333333333,0.3333333333333333,4,Low
