Station_ID,Year,Month,Avg_Daily_Users,Peak_Hour_Users,Avg_Wait_Time_Min,Avg_Charging_Time_Min,Queue_Length,Energy_Delivered_kWh,Utilization_%,Fault_Count,Downtime_Hours,Revenue_INR,Customer_Rating,Sessions,Completed_Sessions,Cancelled_Sessions,Demand_Level
St0001,2021,January,208,72,12,39,6,98800,47.5,1,4,1086800,4.1,5200,5104,96,Low
St0001,2021,February,264,92,16,48,7,199056,64.9,4,12,3184896,4.5,6864,6599,265,Medium
St0001,2021,March,192,67,21,52,7,144768,78.2,1,3,1592448,3.8,4992,4889,103,Medium
St0001,2021,April,211,73,20,54,8,159516,66.6,4,12,2233224,4.1,5908,5810,98,Medium
St0001,2021,May,119,41,22,32,6,110670,78.7,2,10,1770720,4.0,3570,3468,102,Medium
St0001,2021,June,161,56,12,31,6,157780,51.5,1,3,1735580,4.2,4508,4390,118,Low
St0001,2021,July,206,72,17,35,4,123600,62.6,1,2,1112400,4.5,5150,4997,153,Medium
St0001,2021,August,238,83,16,31,4,193256,66.2,1,4,1932560,4.5,6664,6472,192,Medium
St0001,2021,September,170,59,18,44,7,89250,59.8,2,4,1249500,4.0,4250,4110,140,Low
St0001,2021,October,168,58,21,36,6,176400,82.3,4,12,1764000,4.3,5040,4857,183,High
St0001,2021,November,300,105,19,36,6,174000,72.3,2,4,2436000,3.8,8700,8611,89,Medium
St0001,2021,December,260,91,14,38,5,196040,58.2,3,6,2744560,3.8,7540,7334,206,Low
St0001,2022,January,264,92,21,52,6,165000,75.2,0,0,1980000,4.7,6600,6452,148,Medium
St0001,2022,February,159,55,23,40,6,166950,77.6,4,4,2337300,3.6,4770,4734,36,Medium
St0001,2022,March,231,80,21,55,5,114114,70.3,2,2,1027026,3.8,6006,5913,93,Medium
St0001,2022,April,183,64,20,47,8,148596,87.1,4,4,1485960,4.2,5124,4973,151,High
St0001,2022,May,237,82,14,49,4,172536,72.5,4,16,1897896,4.1,6636,6564,72,Medium
St0001,2022,June,278,97,12,42,3,240192,59.3,0,0,3122496,4.7,7506,7406,100,Low
St0001,2022,July,261,91,18,48,7,168084,53.3,2,6,1848924,4.4,7308,7205,103,Low
St0001,2022,August,182,63,18,51,5,147784,69.4,1,1,2364544,4.5,5096,5005,91,Medium
St0001,2022,September,190,66,18,41,5,85500,57.3,3,3,1197000,3.9,4750,4641,109,Low
St0001,2022,October,195,68,22,53,8,175500,78.0,0,0,1579500,4.6,5850,5719,131,Medium
St0001,2022,November,364,127,19,46,4,196560,77.6,3,9,2948400,4.6,9828,9756,72,Medium
St0001,2022,December,307,107,21,49,5,279370,85.4,4,4,4190550,3.5,7982,7690,292,High
St0001,2023,January,197,68,18,49,6,111699,84.7,2,8,1005291,3.9,5319,5234,85,High
St0001,2023,February,212,74,25,33,7,137376,85.6,0,0,1511136,4.1,5088,4970,118,High
St0001,2023,March,210,73,18,41,4,180180,56.3,3,3,1621620,4.6,5460,5317,143,Low
St0001,2023,April,336,117,22,31,7,270816,74.8,1,5,4333056,4.0,8736,8406,330,Medium
St0001,2023,May,190,66,21,42,5,156750,89.4,1,4,1567500,4.1,4750,4628,122,High
St0001,2023,June,304,106,19,43,7,155952,89.9,4,8,1559520,4.3,8208,7899,309,High
St0001,2023,July,321,112,17,54,4,223416,88.9,0,0,2234160,4.8,7704,7521,183,High
St0001,2023,August,338,118,11,40,3,298792,58.1,3,12,4481880,4.6,8788,8605,183,Low
St0001,2023,September,179,62,13,47,5,171840,62.1,1,5,2062080,4.4,5370,5332,38,Medium
St0001,2023,October,227,79,19,37,7,131660,87.5,4,16,2106560,4.3,6583,6519,64,High
St0001,2023,November,241,84,17,31,7,182196,61.7,0,0,1821960,4.2,6507,6401,106,Medium
St0001,2023,December,439,153,19,34,6,248913,61.4,4,8,3733695,3.5,11853,11752,101,Medium
